Kiedyś do Ciebie wrócę,40
Zero Calorie Cookie,50
Od nowa,45
Nie broń mi,22
Jestem Twoją Bajką,55
Byłominęło,41
Ziemia mi się pali,26
Wracam do siebie,35
Ne Rozumiju,60
Do gwiazd,51
Jak zapomnieć,55
Co ja robię tu,51
"Dzięki, że jesteś",60
Poszukam,35
Parę chwil,43
Miłość jest ślepa,67
Jak w filmie,54
Całe Lata,56
Mix Sałat,53
Dżins,44
Matylda,40
Nikt,10
Syn okiennika,45
bigos,39
W PIĄTKI LEŻĘ W WANNIE,56
Tamagotchi,62
Pokolenie Końca Świata,51
Outro,33
"Supermoce (feat. Igo, Mrozu & Vito Bambino)",59
Nazywam się niebo,38
Miod,33
Żurawie origami,41
Odrobinę więcej,35
Bez końca,43
Szlugi I Kalafiory,51
Królowa śniegu,26
Od nowa,53
MIŁO-MIŁO-MIŁOŚĆ,30
przez palce,19
A miało być jak we śnie (feat. Taco Hemingway),37
"Wszystko mi mówi, że mnie ktoś pokochał",33
Tęsknię sobie,48
Układ,22
Beksa,46
Kosmiczne Energie,48
Z Tobą na chacie,49
SUPRO,52
hip hip hura!,52
Nie Szkodzi,54
NIECH BOLI,46
Siebie zapytasz,51
Syreny,45
Maszynka do świerkania,40
Nie nie nie,48
Sen o Warszawie - 1967,45
Z imbirem,55
TAZOSy,54
Tańcz,51
